id,celeste,mightyno9,notes
6.1a,4,3,"Celeste keeps introducing new mechanics through its final chapters"
6.1b,3,2,
6.2a,4,1?,"MN9 is not particularly noted for celebrated emergent mechanic interactions; low confidence"
6.2b,4,1,"Celeste's tech-sharing culture ('did you know you can wavedash') is well documented; MN9 lacks comparable discourse"
6.3a,3,1,
6.3b,4,2,"Celeste gives a strong sense that skill and exploration close both narrative and challenge gaps"
6.4a,3,1?,"MN9's imprecise controls make experimentation more likely to end in a hit than a discovery; low confidence"
6.5a,4,1?,"Celeste's hidden strawberries and crystal hearts reward going off the critical path; MN9 has little comparable optional content, low confidence"
7.1a,4,2,"Celeste's climbing-as-overcoming-anxiety fantasy is tightly bound to its mechanics; MN9's heroic-robot fantasy is generic but present"
7.2a,4,1,"Celeste evokes a wide emotional range (anxiety, warmth, triumph, grief); MN9 stays mostly within frustration/mild triumph"
7.2b,4,NA,"MN9 is a tonally light action game with no designed negative-valence peak"
7.3a,4,2,"In Celeste, mastery IS the fantasy's central metaphor, bound in both directions"
7.4a,2,1,
7.5a,4,1?,"Celeste has strong sustained fan attachment/community; MN9's fanbase is smaller and more mixed, low confidence"
8.1a,4,2,"Celeste teaches mechanics silently through level geometry within the first minute"
8.1b,4,3,
8.1c,4,3,
8.2a,4,2,"MN9's cutscenes/dialogue are reported to take a larger share of session time"
8.3a,4,2,"MN9's reported hit-detection issues create surprises that read as unfair rather than as combinatorial"
8.4a,4,2,"Celeste's near-instant respawn and load times keep recovery cost minimal"
8.5a,4,1?,"Celeste's assist mode (speed, invincibility, infinite stamina, dash assist) explicitly broadens access; MN9's accessibility options are limited/unclear, low confidence"
8.6a,4,2,"Celeste previews upcoming hazards/mechanics at screen and chapter transitions"
