id,dimension,tier,weight,statement,rater1,rater2,rater3,notes
4.4b,Feel & feedback,functional,15,Detail is inspectable on demand without leaving play.,,,,
4.5a,Feel & feedback,functional,15,"The game has music, not only sound effects.",,,,
4.5b,Feel & feedback,functional,15,Every effect is consistent with the world's physics and art style.,,,,
4.5c,Feel & feedback,functional,15,Interface chrome is themed to the world.,,,,
4.5d,Feel & feedback,functional,15,Sounds and voice lines are varied enough not to grate over a session.,,,,
5.1a,Goals progression & pacing,psychosocial,10,"At any moment the player can name a short-, a medium- and a long-term goal, all running simultaneously.",,,,
5.2a,Goals progression & pacing,psychosocial,10,The outcome of the current arc stays genuinely uncertain until near its end.,,,,
5.2b,Goals progression & pacing,psychosocial,10,"The game uses at least two distinct uncertainty mechanisms (variable difficulty, multi-level goals, hidden information, randomness).",,,,
5.3a,Goals progression & pacing,psychosocial,10,"Progression regularly changes how the game is played, not only its numbers.",,,,
5.4a,Goals progression & pacing,psychosocial,10,"Intensity alternates deliberately — tension and release, novelty and consolidation.",,,,
5.5a,Goals progression & pacing,psychosocial,10,The game engineers recurring moments of hard-won triumph that players remember.,,,,
6.1a,Novelty curiosity & discovery,psychosocial,10,New content or mechanics keep arriving through to the end of the runtime.,,,,
6.1b,Novelty curiosity & discovery,psychosocial,10,Discovery rewards are paced below the saturation point where opening one more feels like a chore.,,,,
6.2a,Novelty curiosity & discovery,psychosocial,10,Mechanics interact to produce outcomes nobody scripted.,,,,
6.2b,Novelty curiosity & discovery,psychosocial,10,Players trade 'did you know you can…' stories about the game.,,,,
6.3a,Novelty curiosity & discovery,psychosocial,10,The game plants questions the player wants answered.,,,,
6.3b,Novelty curiosity & discovery,psychosocial,10,The player believes those gaps are closable with effort.,,,,
6.4a,Novelty curiosity & discovery,psychosocial,10,Trying something weird produces an interesting result more often than a punishment.,,,,
6.5a,Novelty curiosity & discovery,psychosocial,10,Some worthwhile discoveries exist only for players who go looking.,,,,
7.1a,Emotion fantasy & narrative,story,10,"The game lets the player be something they find appealing, and the mechanics deliver that fantasy.",,,,
7.2a,Emotion fantasy & narrative,story,10,The game evokes more than two distinct emotions in a normal playthrough.,,,,
7.2b,Emotion fantasy & narrative,story,10,"At least one deliberately designed negative-valence peak (loss, dread, guilt) lands as memorable rather than merely unpleasant.",,,,
7.3a,Emotion fantasy & narrative,story,10,The skill depends on the fantasy and the fantasy depends on the skill (both directions).,,,,
7.4a,Emotion fantasy & narrative,story,10,"A player's identity shows in their play — in builds, style or aesthetics.",,,,
7.5a,Emotion fantasy & narrative,story,10,Players report thinking about the game when not playing it.,,,,
8.1a,Clarity friction & expectation,functional,5,Teaching is invisible inside play within the first minute.,,,,
8.1b,Clarity friction & expectation,functional,5,Tutorial investment matches how much the mechanics genuinely need explaining.,,,,
8.1c,Clarity friction & expectation,functional,5,The game never forces practice of an already-understood action.,,,,
8.2a,Clarity friction & expectation,functional,5,Time in menus is a small fraction of session time.,,,,
8.3a,Clarity friction & expectation,functional,5,"A player can build a correct mental model of the rules from playing; surprises come from combination, not hidden information the game withheld unfairly.",,,,
8.4a,Clarity friction & expectation,functional,5,Recovery from any error is quick — checkpoints and load times do not force replay.,,,,
8.5a,Clarity friction & expectation,functional,5,Difficulty and control options broaden who can reach the game's designed joy.,,,,
8.6a,Clarity friction & expectation,functional,5,"The game signals what kind of challenge, constraint or randomness is coming, so surprises feel designed rather than unfair.",,,,
